id_uf,sigla_uf,nome_uf,ano,indicador_medio,indicador_min,indicador_max,total_municipios,municipios_meta_atingida,matriculas_total,pct_municipios_meta_atingida,variacao_yoy
11,RO,RONDONIA,2021,61.98,42.65,80.75,207,134,562438,64.73,0.0
11,RO,RONDONIA,2022,63.6,41.64,84.08,207,121,562438,58.45,1.62
11,RO,RONDONIA,2023,65.27,36.92,85.96,207,115,562438,55.56,1.67
11,RO,RONDONIA,2024,67.01,36.93,95.05,207,115,562438,55.56,1.74
12,AC,ACRE,2021,60.82,43.51,77.62,207,123,444515,59.42,0.0
12,AC,ACRE,2022,62.22,42.62,83.51,207,101,444515,48.79,1.4
12,AC,ACRE,2023,63.98,39.74,86.68,207,99,444515,47.83,1.76
12,AC,ACRE,2024,65.57,42.14,86.75,207,94,444515,45.41,1.59
13,AM,AMAZONAS,2021,62.38,41.35,81.45,207,135,413328,65.22,0.0
13,AM,AMAZONAS,2022,64.34,43.47,82.64,207,127,413328,61.35,1.96
13,AM,AMAZONAS,2023,66.11,44.48,88.66,207,114,413328,55.07,1.77
13,AM,AMAZONAS,2024,67.34,40.29,95.83,207,112,413328,54.11,1.23
14,RR,RORAIMA,2021,60.86,41.58,81.01,207,128,381359,61.84,0.0
14,RR,RORAIMA,2022,62.45,39.56,85.79,207,115,381359,55.56,1.59
14,RR,RORAIMA,2023,64.21,40.2,88.04,207,99,381359,47.83,1.76
14,RR,RORAIMA,2024,65.89,39.71,92.16,207,106,381359,51.21,1.68
15,PA,PARA,2021,61.13,40.64,79.66,207,123,530807,59.42,0.0
15,PA,PARA,2022,62.79,41.11,87.23,207,110,530807,53.14,1.66
15,PA,PARA,2023,64.17,38.86,93.22,207,106,530807,51.21,1.38
15,PA,PARA,2024,65.46,34.6,93.64,207,96,530807,46.38,1.29
16,AP,AMAPA,2021,60.7,40.88,78.76,207,126,439331,60.87,0.0
16,AP,AMAPA,2022,62.4,44.7,83.07,207,109,439331,52.66,1.7
16,AP,AMAPA,2023,63.77,40.27,85.53,207,102,439331,49.28,1.37
16,AP,AMAPA,2024,65.18,39.77,90.59,207,90,439331,43.48,1.41
17,TO,TOCANTINS,2021,61.39,42.7,82.75,207,128,392018,61.84,0.0
17,TO,TOCANTINS,2022,62.82,43.88,85.08,207,106,392018,51.21,1.43
17,TO,TOCANTINS,2023,64.43,41.42,93.38,207,107,392018,51.69,1.61
17,TO,TOCANTINS,2024,66.06,41.28,93.29,207,100,392018,48.31,1.63
21,MA,MARANHAO,2021,61.11,44.88,77.85,207,125,447936,60.39,0.0
21,MA,MARANHAO,2022,62.22,43.08,81.85,207,105,447936,50.72,1.11
21,MA,MARANHAO,2023,63.66,39.72,86.92,207,100,447936,48.31,1.44
21,MA,MARANHAO,2024,65.33,37.1,89.09,207,96,447936,46.38,1.67
22,PI,PIAUI,2021,62.78,44.18,80.93,206,137,384634,66.5,0.0
22,PI,PIAUI,2022,64.56,42.52,84.1,206,124,384634,60.19,1.78
22,PI,PIAUI,2023,66.14,42.68,88.08,206,105,384634,50.97,1.58
22,PI,PIAUI,2024,67.42,41.47,95.15,206,95,384634,46.12,1.28
23,CE,CEARA,2021,61.8,39.25,80.92,206,135,454441,65.53,0.0
23,CE,CEARA,2022,63.33,40.18,87.08,206,114,454441,55.34,1.53
23,CE,CEARA,2023,64.75,40.69,88.43,206,103,454441,50.0,1.42
